Time Period,3 Month Maturity,1 Year Maturity,2 Year Maturity,3 Year Maturity,5 Year Maturity,10 Year Maturity
5/1/1959,2.84,3.96,4.105,4.25,4.35,4.31
6/1/1959,3.21,4.07,4.295,4.52,4.5,4.34
7/1/1959,3.2,4.39,4.495,4.6,4.58,4.4
8/1/1959,3.38,4.42,4.51,4.6,4.57,4.43
9/1/1959,4.04,5,4.985,4.97,4.9,4.68
10/1/1959,4.05,4.8,4.79,4.78,4.72,4.53
11/1/1959,4.15,4.81,4.83,4.85,4.75,4.53
12/1/1959,4.49,5.14,5.13,5.12,5.01,4.69
1/1/1960,4.35,5.03,5.01,4.99,4.92,4.72
2/1/1960,3.96,4.66,4.695,4.73,4.69,4.49
3/1/1960,3.31,4.02,4.155,4.29,4.31,4.25
4/1/1960,3.23,4.04,4.155,4.27,4.29,4.28
5/1/1960,3.29,4.21,4.335,4.46,4.49,4.35
6/1/1960,2.46,3.36,3.685,4.01,4.12,4.15
7/1/1960,2.3,3.2,3.415,3.63,3.79,3.9
8/1/1960,2.3,2.95,3.18,3.41,3.62,3.8
9/1/1960,2.48,3.07,3.25,3.43,3.61,3.8
10/1/1960,2.3,3.04,3.285,3.53,3.76,3.89
11/1/1960,2.37,3.08,3.34,3.6,3.81,3.93
12/1/1960,2.25,2.86,3.14,3.42,3.67,3.84
1/1/1961,2.24,2.81,3.1,3.39,3.67,3.84
2/1/1961,2.42,2.93,3.195,3.46,3.66,3.78
3/1/1961,2.39,2.88,3.115,3.35,3.6,3.74
4/1/1961,2.29,2.88,3.105,3.33,3.57,3.78
5/1/1961,2.29,2.87,3.05,3.23,3.47,3.71
6/1/1961,2.33,3.06,3.345,3.63,3.81,3.88
7/1/1961,2.24,2.92,3.255,3.59,3.84,3.92
8/1/1961,2.39,3.06,3.41,3.76,3.96,4.04
9/1/1961,2.28,3.06,3.395,3.73,3.9,3.98
10/1/1961,2.3,3.05,3.335,3.62,3.8,3.92
11/1/1961,2.48,3.07,3.34,3.61,3.82,3.94
12/1/1961,2.6,3.18,3.45,3.72,3.91,4.06
1/1/1962,2.72,3.28,3.52,3.76,3.94,4.08
2/1/1962,2.73,3.28,3.485,3.69,3.89,4.04
3/1/1962,2.72,3.06,3.255,3.45,3.68,3.93
4/1/1962,2.73,2.99,3.185,3.38,3.6,3.84
5/1/1962,2.69,3.03,3.215,3.4,3.66,3.87
6/1/1962,2.73,3.03,3.21,3.39,3.64,3.91
7/1/1962,2.92,3.29,3.455,3.62,3.8,4.01
8/1/1962,2.82,3.2,3.33,3.46,3.71,3.98
9/1/1962,2.78,3.06,3.235,3.41,3.7,3.98
10/1/1962,2.74,2.98,3.155,3.33,3.64,3.93
11/1/1962,2.83,3,3.2,3.4,3.6,3.92
12/1/1962,2.87,3.01,3.19,3.37,3.56,3.86
1/1/1963,2.91,3.04,3.22,3.4,3.58,3.83
2/1/1963,2.92,3.01,3.2,3.39,3.66,3.92
3/1/1963,2.89,3.03,3.22,3.41,3.68,3.93
4/1/1963,2.9,3.11,3.305,3.5,3.74,3.97
5/1/1963,2.93,3.12,3.33,3.54,3.72,3.93
6/1/1963,2.99,3.2,3.405,3.61,3.81,3.99
7/1/1963,3.18,3.48,3.62,3.76,3.89,4.02
8/1/1963,3.32,3.53,3.65,3.77,3.89,4
9/1/1963,3.38,3.57,3.695,3.82,3.96,4.08
10/1/1963,3.45,3.64,3.755,3.87,3.97,4.11
11/1/1963,3.52,3.74,3.845,3.95,4.01,4.12
12/1/1963,3.52,3.81,3.91,4.01,4.04,4.13
1/1/1964,3.52,3.79,3.915,4.04,4.07,4.17
2/1/1964,3.53,3.78,3.89,4,4.03,4.15
3/1/1964,3.54,3.91,4.015,4.12,4.14,4.22
4/1/1964,3.47,3.91,4.03,4.15,4.15,4.23
5/1/1964,3.48,3.84,3.94,4.04,4.05,4.2
6/1/1964,3.48,3.83,3.92,4.01,4.02,4.17
7/1/1964,3.46,3.72,3.825,3.93,4.03,4.19
8/1/1964,3.5,3.74,3.835,3.93,4.05,4.19
9/1/1964,3.53,3.84,3.925,4.01,4.08,4.2
10/1/1964,3.57,3.86,3.94,4.02,4.07,4.19
11/1/1964,3.64,3.91,3.975,4.04,4.04,4.15
12/1/1964,3.84,4.02,4.05,4.08,4.09,4.18
1/1/1965,3.81,3.94,3.985,4.03,4.1,4.19
2/1/1965,3.93,4.03,4.055,4.08,4.15,4.21
3/1/1965,3.93,4.06,4.095,4.13,4.15,4.21
4/1/1965,3.93,4.04,4.08,4.12,4.15,4.2
5/1/1965,3.89,4.03,4.07,4.11,4.15,4.21
6/1/1965,3.8,3.99,4.035,4.08,4.15,4.21
7/1/1965,3.84,3.98,4.035,4.09,4.15,4.2
8/1/1965,3.84,4.07,4.115,4.16,4.2,4.25
9/1/1965,3.92,4.2,4.22,4.24,4.25,4.29
10/1/1965,4.03,4.3,4.315,4.33,4.34,4.35
11/1/1965,4.09,4.37,4.41,4.45,4.46,4.45
12/1/1965,4.38,4.72,4.755,4.79,4.72,4.62
1/1/1966,4.59,4.88,4.89,4.9,4.86,4.61
2/1/1966,4.65,4.94,4.98,5.02,4.98,4.83
3/1/1966,4.59,4.97,4.97,4.97,4.92,4.87
4/1/1966,4.62,4.9,4.895,4.89,4.83,4.75
5/1/1966,4.64,4.93,4.965,5,4.89,4.78
6/1/1966,4.5,4.97,5.01,5.05,4.97,4.81
7/1/1966,4.8,5.17,5.215,5.26,5.17,5.02
8/1/1966,4.96,5.54,5.61,5.68,5.5,5.22
9/1/1966,5.37,5.82,5.805,5.79,5.5,5.18
10/1/1966,5.35,5.58,5.53,5.48,5.27,5.01
11/1/1966,5.32,5.54,5.535,5.53,5.36,5.16
12/1/1966,4.96,5.2,5.195,5.19,5,4.84
1/1/1967,4.72,4.75,4.75,4.75,4.7,4.58
2/1/1967,4.56,4.71,4.72,4.73,4.74,4.63
3/1/1967,4.26,4.35,4.41,4.47,4.54,4.54
4/1/1967,3.84,4.11,4.245,4.38,4.51,4.59
5/1/1967,3.6,4.15,4.38,4.61,4.75,4.85
6/1/1967,3.54,4.48,4.685,4.89,5.01,5.02
7/1/1967,4.21,5.01,5.035,5.06,5.23,5.16
8/1/1967,4.27,5.13,5.18,5.23,5.31,5.28
9/1/1967,4.42,5.24,5.325,5.41,5.4,5.3
10/1/1967,4.56,5.37,5.445,5.52,5.57,5.48
11/1/1967,4.73,5.61,5.66,5.71,5.78,5.75
12/1/1967,4.97,5.71,5.71,5.71,5.75,5.7
1/1/1968,5,5.43,5.48,5.53,5.54,5.53
2/1/1968,4.98,5.41,5.51,5.61,5.59,5.56
3/1/1968,5.17,5.58,5.69,5.8,5.76,5.74
4/1/1968,5.38,5.71,5.73,5.75,5.69,5.64
5/1/1968,5.66,6.14,6.125,6.11,6.04,5.87
6/1/1968,5.52,5.98,5.9,5.82,5.85,5.72
7/1/1968,5.31,5.65,5.595,5.54,5.6,5.5
8/1/1968,5.09,5.43,5.425,5.42,5.5,5.42
9/1/1968,5.19,5.45,5.42,5.39,5.48,5.46
10/1/1968,5.35,5.57,5.545,5.52,5.55,5.58
11/1/1968,5.45,5.75,5.66,5.57,5.66,5.7
12/1/1968,5.96,6.19,6.175,6.16,6.12,6.03
1/1/1969,6.14,6.34,6.28,6.22,6.25,6.04
2/1/1969,6.12,6.41,6.365,6.32,6.34,6.19
3/1/1969,6.02,6.34,6.36,6.38,6.41,6.3
4/1/1969,6.11,6.26,6.255,6.25,6.3,6.17
5/1/1969,6.04,6.42,6.465,6.51,6.54,6.32
6/1/1969,6.44,7.04,6.935,6.83,6.75,6.57
7/1/1969,7,7.6,7.455,7.31,7.01,6.72
8/1/1969,6.98,7.54,7.415,7.29,7.03,6.69
9/1/1969,7.09,7.82,7.795,7.77,7.57,7.16
10/1/1969,7,7.64,7.605,7.57,7.51,7.1
11/1/1969,7.24,7.89,7.77,7.65,7.53,7.14
12/1/1969,7.82,8.17,8.135,8.1,7.96,7.65
1/1/1970,7.87,8.1,8.17,8.24,8.17,7.79
2/1/1970,7.13,7.59,7.69,7.79,7.82,7.24
3/1/1970,6.63,6.97,7.06,7.15,7.21,7.07
4/1/1970,6.51,7.06,7.225,7.39,7.5,7.39
5/1/1970,6.84,7.75,7.845,7.94,7.97,7.91
6/1/1970,6.68,7.55,7.695,7.84,7.85,7.84
