Time Period,3 Month Maturity,1 Year Maturity,2 Year Maturity,3 Year Maturity,5 Year Maturity,10 Year Maturity
5/1/1990,7.74,8.32,8.505,8.69,8.74,8.76
6/1/1990,7.73,8.1,8.25,8.4,8.43,8.48
7/1/1990,7.62,7.94,8.1,8.26,8.33,8.47
8/1/1990,7.45,7.78,8,8.22,8.44,8.75
9/1/1990,7.36,7.76,8.015,8.27,8.51,8.89
10/1/1990,7.17,7.55,7.81,8.07,8.33,8.72
11/1/1990,7.06,7.31,7.525,7.74,8.02,8.39
12/1/1990,6.74,7.05,7.26,7.47,7.73,8.08
1/1/1991,6.22,6.64,7.01,7.38,7.7,8.09
2/1/1991,5.94,6.27,6.675,7.08,7.47,7.85
3/1/1991,5.91,6.4,6.875,7.35,7.77,8.11
4/1/1991,5.65,6.24,6.735,7.23,7.7,8.04
5/1/1991,5.46,6.13,6.625,7.12,7.7,8.07
6/1/1991,5.57,6.36,6.875,7.39,7.94,8.28
7/1/1991,5.58,6.31,6.845,7.38,7.91,8.27
8/1/1991,5.33,5.78,6.29,6.8,7.43,7.9
9/1/1991,5.22,5.57,6.035,6.5,7.14,7.65
10/1/1991,4.99,5.33,5.78,6.23,6.87,7.53
11/1/1991,4.56,4.89,5.395,5.9,6.62,7.42
12/1/1991,4.07,4.38,4.885,5.39,6.19,7.09
1/1/1992,3.8,4.15,4.775,5.4,6.24,7.03
2/1/1992,3.84,4.29,5.005,5.72,6.58,7.34
3/1/1992,4.04,4.63,5.405,6.18,6.95,7.54
4/1/1992,3.75,4.3,5.115,5.93,6.78,7.48
5/1/1992,3.63,4.19,5,5.81,6.69,7.39
6/1/1992,3.66,4.17,4.885,5.6,6.48,7.26
7/1/1992,3.21,3.6,4.255,4.91,5.84,6.84
8/1/1992,3.13,3.47,4.095,4.72,5.6,6.59
9/1/1992,2.91,3.18,3.8,4.42,5.38,6.42
10/1/1992,2.86,3.3,3.97,4.64,5.6,6.59
11/1/1992,3.13,3.68,4.41,5.14,6.04,6.87
12/1/1992,3.22,3.71,4.46,5.21,6.08,6.77
1/1/1993,3,3.5,4.215,4.93,5.83,6.6
2/1/1993,2.93,3.39,3.985,4.58,5.43,6.26
3/1/1993,2.95,3.33,3.865,4.4,5.19,5.98
4/1/1993,2.87,3.24,3.77,4.3,5.13,5.97
5/1/1993,2.96,3.36,3.88,4.4,5.2,6.04
6/1/1993,3.07,3.54,4.035,4.53,5.22,5.96
7/1/1993,3.04,3.47,3.95,4.43,5.09,5.81
8/1/1993,3.02,3.44,3.9,4.36,5.03,5.68
9/1/1993,2.95,3.36,3.765,4.17,4.73,5.36
10/1/1993,3.02,3.39,3.785,4.18,4.71,5.33
11/1/1993,3.1,3.58,4.04,4.5,5.06,5.72
12/1/1993,3.06,3.61,4.075,4.54,5.15,5.77
1/1/1994,2.98,3.54,4.01,4.48,5.09,5.75
2/1/1994,3.25,3.87,4.35,4.83,5.4,5.97
3/1/1994,3.5,4.32,4.86,5.4,5.94,6.48
4/1/1994,3.68,4.82,5.405,5.99,6.52,6.97
5/1/1994,4.14,5.31,5.825,6.34,6.78,7.18
6/1/1994,4.14,5.27,5.77,6.27,6.7,7.1
7/1/1994,4.33,5.48,5.98,6.48,6.91,7.3
8/1/1994,4.48,5.56,6.03,6.5,6.88,7.24
9/1/1994,4.62,5.76,6.225,6.69,7.08,7.46
10/1/1994,4.95,6.11,6.575,7.04,7.4,7.74
11/1/1994,5.29,6.54,6.99,7.44,7.72,7.96
12/1/1994,5.6,7.14,7.425,7.71,7.78,7.81
