Date,3-month,1-year,2-year,3-year,5-year,10-year
1993-07,3.04,3.47,3.95,4.43,5.09,5.81
1993-08,3.02,3.44,3.9,4.36,5.03,5.68
1993-09,2.95,3.36,3.765,4.17,4.73,5.36
1993-10,3.02,3.39,3.785,4.18,4.71,5.33
1993-11,3.1,3.58,4.04,4.5,5.06,5.72
1993-12,3.06,3.61,4.075,4.54,5.15,5.77
1994-01,2.98,3.54,4.01,4.48,5.09,5.75
1994-02,3.25,3.87,4.35,4.83,5.4,5.97
1994-03,3.5,4.32,4.86,5.4,5.94,6.48
1994-04,3.68,4.82,5.405,5.99,6.52,6.97
1994-05,4.14,5.31,5.825,6.34,6.78,7.18
1994-06,4.14,5.27,5.77,6.27,6.7,7.1
1994-07,4.33,5.48,5.98,6.48,6.91,7.3
1994-08,4.48,5.56,6.03,6.5,6.88,7.24
1994-09,4.62,5.76,6.225,6.69,7.08,7.46
1994-10,4.95,6.11,6.575,7.04,7.4,7.74
1994-11,5.29,6.54,6.99,7.44,7.72,7.96
1994-12,5.6,7.14,7.425,7.71,7.78,7.81
